group	samples
target	SRR1799029
target	SRR2083168
target	SRR2042856
target	SRR1796928
target	SRR4376034
target	SRR1791071
target	SRR1810588
target	SRR1796989
target	SRR4376047
target	SRR1797121
target	SRR1559117
target	SRR1559123
target	SRR5912871
target	SRR1797097
target	SRR1798964
target	SRR1797123
target	SRR1791021
target	SRR4416261
target	SRR1796904
target	SRR1791135
target	SRR1799032
target	SRR4419563
target	SRR1791058
target	SRR2239674
target	SRR1796974
target	SRR1559100
target	SRR1796905
target	SRR2083148
target	SRR1791094
target	SRR2042862
target	SRR2059684
target	SRR1559185
target	SRR1796870
target	SRR1791030
target	SRR1791114
target	SRR2239686
target	SRR1810632
target	SRR1799040
target	SRR2083111
target	SRR1791059
target	SRR4419570
target	SRR527438
target	SRR2042835
target	SRR1559143
target	SRR1797046
target	SRR1797060
target	SRR1791098
target	SRR1797069
target	SRR1798993
target	SRR2083190
target	SRR1559120
target	SRR1790998
target	SRR2083163
target	SRR2042844
target	SRR1791124
target	SRR2083167
target	SRR1810586
target	SRR1796901
target	SRR2083122
target	SRR1559160
target	SRR1796991
target	SRR1798997
target	SRR1810609
target	SRR1559097
target	SRR1796960
target	SRR1810611
target	SRR5912868
target	SRR1797080
target	SRR1796906
target	SRR1559124
target	SRR1796937
target	SRR1796956
target	SRR3162160
target	SRR1559145
target	SRR1791159
target	SRR1790990
target	SRR4376037
target	SRR2083151
target	SRR1559090
target	SRR1796967
target	SRR1796946
target	SRR1810639
target	SRR1796890
target	SRR1559075
target	SRR1559164
target	SRR1799069
target	SRR2042842
target	SRR2042834
target	SRR1796871
target	SRR4376030
target	SRR1791069
target	SRR2239681
target	SRR1559159
target	SRR1797112
target	SRR1796933
target	SRR1796976
target	SRR1797117
target	SRR1559147
target	SRR2083132
target	SRR1797067
target	SRR1798998
target	SRR1797126
target	SRR4419556
target	SRR4416301
target	SRR1810635
target	SRR2083141
target	SRR1559148
target	SRR1799002
target	SRR1559183
target	SRR1712465
target	SRR1810803
target	SRR1791118
target	SRR1791153
